date,vader_neg,vader_neu,vader_pos,vader_compound,post_count
2024-01-03,0.0,0.872,0.128,0.927,1
2024-01-04,0.0,0.884,0.116,0.8519,1
2024-01-07,0.0,0.881,0.119,0.6597,1
2024-01-08,0.035,0.913,0.052,0.2023,1
2024-01-09,0.023,0.876,0.101,0.9956,1
2024-01-11,0.027,0.857,0.117,0.9909,1
2024-01-12,0.113,0.731,0.156,-0.0887,1
2024-01-13,0.028,0.839,0.133,0.9803,1
2024-01-15,0.061,0.8220000000000001,0.11699999999999999,0.33840000000000003,3
2024-01-16,0.0,1.0,0.0,0.0,1
2024-01-19,0.04325,0.885,0.07150000000000001,0.469075,4
2024-01-20,0.0075,0.7885,0.204,0.9037999999999999,2
2024-01-25,0.0505,0.8505,0.099,0.7820499999999999,2
2024-01-31,0.073,0.809,0.119,0.8874,1
2024-02-02,0.018,0.916,0.06566666666666666,0.38706666666666667,3
2024-02-03,0.079,0.762,0.159,0.8896,1
2024-02-05,0.0,0.871,0.129,0.8922,1
2024-02-06,0.131,0.75,0.119,0.0063,1
2024-02-09,0.084,0.817,0.099,0.9863,1
2024-02-12,0.112,0.784,0.104,-0.6464,1
2024-02-16,0.03,0.876,0.094,0.7543,1
2024-02-17,0.0,0.847,0.153,0.9442,1
2024-02-18,0.146,0.763,0.09,-0.987,1
2024-02-21,0.0055,0.78,0.215,0.80985,2
2024-02-22,0.0,0.861,0.139,0.8925,1
2024-02-23,0.1725,0.702,0.1255,0.0756,2
2024-02-25,0.03966666666666666,0.7639999999999999,0.19633333333333336,0.49113333333333337,3
2024-02-27,0.055,0.669,0.276,0.765,1
2024-02-28,0.076,0.821,0.103,0.51665,2
2024-02-29,0.063,0.85325,0.08374999999999999,0.4002,4
2024-03-04,0.038,0.802,0.159,0.9998,1
2024-03-06,0.0215,0.8865000000000001,0.092,0.4841,2
2024-03-07,0.0035,0.8205,0.176,0.6192,2
2024-03-08,0.0125,0.90225,0.08525,0.6234,4
2024-03-09,0.0435,0.8725,0.08449999999999999,0.4649,2
2024-03-10,0.048,0.785,0.167,0.9818,1
2024-03-11,0.107,0.711,0.182,0.5423,1
2024-03-13,0.03333333333333333,0.9083333333333333,0.057999999999999996,0.09963333333333331,3
2024-03-14,0.04466666666666667,0.8506666666666667,0.10433333333333333,0.8898999999999999,3
2024-03-15,0.0125,0.855,0.1325,0.97985,2
2024-03-16,0.0,0.856,0.144,0.5719,1
2024-03-17,0.108,0.771,0.121,-0.8715,1
2024-03-18,0.0,1.0,0.0,0.0,1
2024-03-19,0.03,0.884,0.086,0.9764,1
2024-03-20,0.0,1.0,0.0,0.0,1
2024-03-21,0.186,0.778,0.036,-0.7579,1
2024-03-22,0.09066666666666667,0.7943333333333333,0.11499999999999999,0.35603333333333337,3
2024-03-26,0.0,0.9355,0.0645,0.2997,2
2024-03-27,0.299,0.701,0.0,-0.5719,1
2024-03-30,0.032,0.86,0.108,0.9846,1
2024-04-02,0.138,0.7115,0.15,0.4371,2
2024-04-03,0.023,0.8460000000000001,0.131,0.962,2
2024-04-04,0.04,0.862,0.098,0.9956,1
2024-04-07,0.028,0.8875,0.08449999999999999,0.48250000000000004,2
2024-04-10,0.009,0.782,0.209,0.9871,1
2024-04-12,0.011,0.8805000000000001,0.1085,0.74315,2
2024-04-13,0.022,0.87,0.108,0.9919,1
2024-04-16,0.040999999999999995,0.829,0.1305,0.9926999999999999,2
2024-04-17,0.095,0.8435,0.0615,-0.52515,2
2024-04-18,0.0,1.0,0.0,0.0,1
2024-04-24,0.1725,0.754,0.0735,-0.2997,2
2024-04-25,0.097,0.796,0.106,0.0516,1
2024-05-03,0.0,0.888,0.112,0.5106,1
2024-05-04,0.0805,0.775,0.14500000000000002,0.9670000000000001,2
2024-05-06,0.0,0.8,0.2,0.4588,1
2024-05-07,0.0,1.0,0.0,0.0,1
2024-05-09,0.053,0.884,0.063,0.128,1
2024-05-10,0.167,0.833,0.0,-0.296,1
2024-05-13,0.326,0.674,0.0,-0.4404,1
2024-05-14,0.0395,0.8645,0.096,0.96065,2
2024-05-15,0.0,1.0,0.0,0.0,1
2024-05-17,0.044,0.905,0.05,0.9477,1
2024-05-24,0.0,0.9,0.1,0.913,1
2024-05-25,0.042,0.847,0.111,0.9552,1
2024-05-28,0.0335,0.7975,0.169,0.94225,2
2024-05-31,0.063,0.767,0.17,0.8658,1
2024-06-03,0.019,0.8085,0.1725,0.7077,2
2024-06-04,0.0,0.906,0.094,0.5106,1
2024-06-10,0.0,0.912,0.088,0.9729,1
2024-06-11,0.0255,0.8374999999999999,0.137,0.7986500000000001,2
2024-06-14,0.073,0.805,0.123,0.7884,1
2024-06-20,0.0,0.917,0.083,0.6908,1
2024-06-22,0.097,0.903,0.0,-0.128,1
2024-06-26,0.204,0.796,0.0,-0.3182,1
2024-06-27,0.023,0.881,0.096,0.9825,1
2024-06-28,0.067,0.797,0.136,0.296,1
2024-06-29,0.371,0.629,0.0,-0.7096,1
2024-07-02,0.07200000000000001,0.7005,0.2275,0.81555,2
2024-07-09,0.0,0.839,0.161,0.9876,1
2024-07-11,0.015,0.794,0.191,0.9784,1
2024-07-17,0.128,0.872,0.0,-0.296,1
2024-07-20,0.0,0.878,0.122,0.8327,1
2024-07-25,0.0,1.0,0.0,0.0,1
2024-07-26,0.101,0.746,0.153,0.9535,1
2024-07-27,0.06,0.765,0.175,0.9986,1
2024-07-30,0.019,0.929,0.052,0.4576,1
2024-07-31,0.043,0.765,0.192,0.9538,1
2024-08-02,0.015,0.929,0.0565,0.4892,2
2024-08-06,0.044,0.872,0.084,0.9238,1
2024-08-08,0.0115,0.8535,0.135,0.89815,2
2024-08-11,0.0,0.886,0.114,0.8689,1
2024-08-12,0.048,0.879,0.074,0.1292,1
2024-08-13,0.021,0.727,0.252,0.9929,1
2024-08-14,0.0,0.748,0.252,0.4019,1
2024-08-15,0.2345,0.736,0.0295,-0.7177,2
2024-08-17,0.0425,0.909,0.048,0.1753,2
2024-08-18,0.0,1.0,0.0,0.0,1
2024-08-22,0.0715,0.806,0.12225000000000001,0.16065000000000002,4
2024-08-23,0.0135,0.8614999999999999,0.125,0.91395,2
2024-08-25,0.07300000000000001,0.8045,0.1225,0.94245,2
